,ka_tf_vii,kd_tfvii,ka_tf_viia,kd_tfviia,ka_tfviia_vii,ka_tfviia_tfvii,ka_tfvii_xa,ka_tfvii_iia,ka_tfviia_x,kd_tfviiax,ka_tfviiax,ka_tfviia_xa,kd_tfviiaxa,ka_tfviia_ix,kd_tfviiaix,ka_tfviiaix,ka_xa_vii,ka_iia_vii,ka_xa_ii,ka_iia_viii,ka_viiia_ixa,kd_ixaviiia,ka_ixaviiia_x,kd_ixaviiiax,ka_ixaviiiax,ka_viiia,kd_viiia1_viiia2,ka_ixaviiiax_2,ka_ixaviiia,ka_iia_v,ka_xa_va,kd_xava,ka_xava_ii,kd_xavaii,ka_xavaii,ka_miia_xava,ka_iia_xi,kd_iiaxi,ka_iiaxi,ka_xia_ix,kd_xiaix,ka_xiaix,ka_ixa_x,kd_ixax,ka_ixax,ka_xa_tfpi,kd_xatfpi,ka_tfviiaxa_tfpi,kd_tfviiaxatfpi,ka_tfviia_xatfpi,ka_xa_at,ka_miia_at,ka_ixa_at,ka_iia_at,ka_tfviia_at,ka_xia_at,ka_xia_c1inh
TF,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,-1,,,,-1,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF:VII,,-1,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIIa,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF:VIIa,,,,-1,-1,-1,,,-1,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,
Xa,,,,,,,-1,,,,,-1,,,,,-1,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,
IIa,,,,,,,,-1,,,,,,,,,,-1,,-1,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,
X,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
TF:VIIa:X,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF:VIIa:Xa,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,
