,kon_x,koff_x,kflow,kflow,kflow,kflow,kflow,kflow,k_pla_plus,k_pla_plus,k_pla_minus,k_pla_act,k_pla_act,kact_e2,kon_IIa_sp,koff_IIa_sp,kon_v_sp,koff_v_sp,kon_se,kflow,kflow,kflow,kflow,kflow,kflow
L_TF,,1,,,,,,,,,,,,,,,,,,,,,,,
X,,1,,,,,,,,,,,,,,,,,,,1,,,,
X_st,1,,,,,,,,,,,,,,,,,,,,,,,,
IIa,,,,1,,,,,,,,,,,,1,,,,,,,,,
V,,,,,,1,,,,,,,,,,,,1,,,,,,,
PL,,,,,,,1,,,,,,,,,,,,,,,,,,
P_SUB,,,,,,,,,,,1,,,,,,,,,,,,,,
PL_S,,,,,,,,,1,1,,1,,,,,,,,,,,,,
PL_V,,,,,,,,,,,1,1,2,1,,,,,,,,,,,
p2,,,,,,,,,,,,,,,,1,,,,,,,,,
IIa_sp,,,,,,,,,,,,,,,1,,,,,,,,,,
p5,,,,,,,,,,,,,,,,,,1,,,,,,,
V_sp,,,,,,,,,,,,,,,,,1,,,,,,,,
TF,,,,,,,,,,,,,,,,,,,,,,,,,
VII,,,,,,,,,,,,,,,,,,,,,,,,,
TF:VII_se,,,,,,,,,,,,,,,,,,,1,,,,,,
XI,,,,,,,,,,,,,,,,,,,,,,,1,,
TFPI,,,,,,,,,,,,,,,,,,,,,,,,,1
Vh,,,,,,,,,,,,,,,,,,,,,,,,,
