,kon_x,koff_x,kflow,kflow,kflow,kflow,kflow,kflow,k_pla_plus,k_pla_plus,k_pla_minus,k_pla_act,k_pla_act,kact_e2,kon_IIa_sp,koff_IIa_sp,kon_v_sp,koff_v_sp,kon_se,kflow,kflow,kflow,kflow,kflow,kflow
L_TF,-1,1,,,,,,,,,,,,,,,,,,,,,,,
X,-1,1,,,,,,,,,,,,,,,,,,-1,1,,,,
X_st,1,-1,,,,,,,,,,,,,,,,,,,,,,,
IIa,,,-1,1,,,,,,,,,,,-1,1,,,,,,,,,
V,,,,,-1,1,,,,,,,,,,,-1,1,,,,,,,
PL,,,,,,,1,-1,-1,,,-1,-1,-1,,,,,,,,,,,
P_SUB,,,,,,,,,-1,-1,1,,,,,,,,,,,,,,
PL_S,,,,,,,,,1,1,-1,0,,,,,,,,,,,,,
PL_V,,,,,,,,,,-1,1,1,1,1,,,,,,,,,,,
p2,,,,,,,,,,,,,,,-1,1,,,,,,,,,
IIa_sp,,,,,,,,,,,,,,,1,-1,,,,,,,,,
p5,,,,,,,,,,,,,,,,,-1,1,,,,,,,
V_sp,,,,,,,,,,,,,,,,,1,-1,,,,,,,
TF,,,,,,,,,,,,,,,,,,,-1,,,,,,
VII,,,,,,,,,,,,,,,,,,,-1,,,,,,
TF:VII_se,,,,,,,,,,,,,,,,,,,1,,,,,,
XI,,,,,,,,,,,,,,,,,,,,,,-1,1,,
TFPI,,,,,,,,,,,,,,,,,,,,,,,,-1,1
Vh,,,,,,,,,,,,,,,,,,,,,,,,,
